Pays,Region,Rank,Bonheur,A1,A2,A3,A4,A5,A6,A7,A8,Democratie,Population,Bellicisme,Alphabetisation,PIB,EsperanceDeVie,Liberalisme
Djibouti,Sub-Saharan Africa,126,4.369,0.08096,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,2.05125,2.87,956990,2.113,0.703,3343,63.5,55.9
Armenia,Central and Eastern Europe,127,4.35,0.04763,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,1.75873,4.79,2930450,2.048,0.997,8833,74.8,68.9
Botswana,Sub-Saharan Africa,128,4.332,0.04934,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,1.46181,7.81,2291660,1.597,0.841,16957,65.7,72.0
Myanmar,Southeastern Asia,129,4.307,0.04351,0.27108,0.70905,0.48246,0.44017,0.19034,0.79588,1.4180,3.83,53370610,2.323,0.92,5721,66.6,46.5
Georgia,Central and Eastern Europe,130,4.297,0.04221,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547,1.59541,5.5,3728000,1.973,0.99,10005,74.4,72.6
Malawi,Sub-Saharan Africa,131,4.292,0.0613,0.01604,0.41134,0.22562,0.43054,0.06977,0.33128,2.80791,5.49,18622100,1.814,0.925,1169,58.3,55.4
Sri Lanka,Southern Asia,132,4.271,0.03751,0.83524,1.01905,0.70806,0.53726,0.09179,0.40828,0.67108,6.19,21444000,2.188,0.942,12552,74.9,60.0
Cameroon,Sub-Saharan Africa,133,4.252,0.04678,0.4225,0.88767,0.23402,0.49309,0.05786,0.20618,1.95071,3.28,24053730,2.349,0.679,3609,57.3,52.6
Bulgaria,Central and Eastern Europe,134,4.218,0.04828,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,0.89991,7.03,7075950,1.607,0.9833,19243,74.5,65.7
Egypt,Middle East and Northern Africa,135,4.194,0.0326,0.8818,0.747,0.61712,0.17288,0.06324,0.11291,1.59927,3.36,97553150,2.382,0.654,11129,70.9,52.9
Yemen,Middle East and Northern Africa,136,4.077,0.04367,0.54649,0.68093,0.40064,0.35571,0.07854,0.09131,1.92313,1.97,28250420,2.751,0.624,2507,65.7,55.5
Angola,Sub-Saharan Africa,137,4.033,0.04758,0.75778,0.8604,0.16683,0.10384,0.07122,0.12344,1.94939,3.62,29784190,2.020,0.70,6454,52.4,47.7
Mali,Sub-Saharan Africa,138,3.995,0.05602,0.26074,1.03526,0.20583,0.38857,0.12352,0.18798,1.79293,5.41,18541980,2.310,0.3011,2126,58.2,55.5
